id_time,n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
7594,2,5,519,1.0,2.0,1.0,1.0,1.0,0.2,0.12,3.07,59.5
7690,2,6,256,2.0,2.0,2.0,1.0,1.0,0.67,0.69,3.57,250.5
7747,4,7,288,4.0,4.0,4.0,1.0,1.0,0.14,0.15,0.01,253.25
7775,2,8,485,1.0,2.0,2.0,1.0,1.0,0.5,0.45,34.63,60.0
7881,1,4,164,1.0,1.0,1.0,1.0,1.0,0.25,0.27,0.03,254.0
7891,6,9,460,6.0,6.0,6.0,0.78,0.7,0.11,0.1,0.17,218.33
7973,5,12,757,5.0,5.0,5.0,0.92,0.75,0.33,0.29,12.69,211.8
7994,5,9,460,4.0,5.0,4.0,0.89,0.91,0.33,0.37,0.0,173.2
8121,5,12,689,4.0,5.0,5.0,1.0,1.0,0.33,0.31,14.04,134.0
8150,2,5,204,2.0,2.0,2.0,1.0,1.0,0.2,0.22,0.02,154.0
8228,2,5,264,2.0,2.0,2.0,1.0,1.0,0.2,0.23,1.56,156.0
8232,2,5,250,2.0,2.0,2.0,0.8,0.86,0.8,0.86,22.93,58.0
8234,8,18,900,5.0,8.0,6.0,1.0,1.0,0.72,0.78,23.76,178.75
8268,2,4,174,2.0,2.0,2.0,0.75,0.74,0.25,0.25,0.0,52.0
8292,1,6,374,1.0,1.0,1.0,1.0,1.0,0.33,0.3,9.29,59.0
8440,3,17,1377,2.0,3.0,2.0,1.0,1.0,0.65,0.73,0.39,122.0
8836,6,21,1146,3.0,6.0,3.0,0.95,0.97,0.29,0.28,22.42,122.5
8935,2,7,414,2.0,2.0,2.0,1.0,1.0,0.29,0.27,4.64,156.0
8943,3,8,671,2.0,3.0,3.0,1.0,1.0,0.38,0.26,2.26,122.67
8954,1,6,374,1.0,1.0,1.0,1.0,1.0,0.5,0.44,63.41,59.0
9275,4,8,670,4.0,4.0,4.0,0.88,0.92,0.62,0.74,0.13,152.25
9279,4,9,384,4.0,4.0,4.0,1.0,1.0,0.56,0.57,3.86,199.0
9280,2,5,256,2.0,2.0,2.0,1.0,1.0,0.8,0.84,31.67,156.0
9289,6,13,648,5.0,6.0,6.0,1.0,1.0,0.69,0.75,21.05,154.5
9402,4,11,724,1.0,4.0,2.0,0.91,0.93,0.45,0.33,0.43,107.0
9434,3,6,263,3.0,3.0,3.0,0.83,0.82,0.17,0.17,0.01,121.0
9438,3,8,348,3.0,3.0,3.0,1.0,1.0,0.62,0.63,5.09,180.67
9495,6,12,808,5.0,6.0,5.0,1.0,1.0,0.33,0.27,11.74,120.33
9496,7,23,1244,3.0,7.0,3.0,1.0,1.0,0.87,0.87,45.35,58.29
9540,4,6,308,3.0,4.0,3.0,1.0,1.0,0.67,0.73,0.13,156.0
9611,9,10,476,4.0,8.0,8.0,1.0,1.0,0.1,0.09,0.11,184.56
9634,3,7,368,3.0,3.0,3.0,1.0,1.0,0.71,0.73,21.07,139.0
9688,1,2,112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,62.0
9691,2,9,538,1.0,2.0,1.0,1.0,1.0,0.22,0.21,6.2,59.0
9722,2,5,268,1.0,2.0,2.0,1.0,1.0,0.4,0.39,1.51,60.5
9762,3,6,265,3.0,3.0,3.0,0.83,0.78,0.17,0.17,0.01,252.0
9769,10,16,781,5.0,8.0,8.0,1.0,1.0,0.31,0.33,6.92,153.5
9837,6,18,1423,3.0,6.0,4.0,0.94,0.97,0.33,0.36,1.76,123.83
9846,5,7,292,5.0,5.0,5.0,1.0,1.0,0.14,0.15,0.03,223.6
9916,6,15,764,4.0,6.0,4.0,1.0,1.0,0.73,0.78,31.75,155.5
10017,3,5,264,2.0,2.0,2.0,1.0,1.0,0.2,0.23,1.05,123.33
10052,6,9,444,4.0,5.0,5.0,1.0,1.0,0.22,0.27,0.53,152.83
