id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,226,15247,17846705,175,3.37,1.9,180,3.46,1.64,204,3.92,3.42,0.96,0.95,0.48,0.48,49.55,152.19
1,1850,3542,291727,646,5.93,1.91,358,3.28,1.49,1782,16.35,5.52,0.25,0.33,0.47,0.45,8.42,188.39
2,1285,70478,77562796,455,4.25,1.75,372,3.48,1.73,1201,11.22,4.72,0.38,0.47,0.45,0.44,14.5,187.09
3,7212,13402,3276308,738,6.77,1.7,418,3.83,1.61,6874,63.06,10.58,0.15,0.26,0.48,0.47,7.43,192.31
4,7079,10849,748178,745,6.77,1.95,477,4.34,1.81,6664,60.58,11.05,0.14,0.28,0.48,0.46,7.62,194.11
7,960,22377,23535565,391,3.72,1.81,388,3.7,1.73,894,8.51,3.73,0.51,0.59,0.48,0.45,19.02,178.3
8,2185,4072,686331,669,6.14,1.89,414,3.8,1.8,1987,18.23,5.53,0.28,0.35,0.43,0.4,10.95,183.72
9,5663,8024,424775,748,6.86,1.82,507,4.65,1.67,5296,48.59,8.87,0.17,0.25,0.46,0.43,6.93,193.22
10,4545,7067,1514601,601,5.51,1.41,454,4.17,1.58,4237,38.87,8.05,0.16,0.24,0.46,0.44,5.78,193.02
11,1701,2949,552270,621,5.75,1.62,489,4.53,1.69,1469,13.6,4.57,0.41,0.47,0.38,0.37,7.68,188.67
14,212,153083,139853867,163,3.33,1.43,160,3.27,1.22,188,3.84,2.86,0.96,0.96,0.48,0.43,27.44,156.37
15,5994,9011,600415,511,4.69,1.67,424,3.89,1.72,5726,52.53,11.28,0.15,0.26,0.49,0.46,7.25,191.38
16,1104,2509,306041,493,4.79,1.8,401,3.89,1.73,1017,9.87,4.24,0.48,0.55,0.42,0.39,13.54,176.73
17,1364,17994,14651689,492,4.56,1.61,428,3.96,1.59,1287,11.92,4.6,0.46,0.56,0.46,0.42,14.31,185.81
18,2320,24464,1679775,659,6.1,1.57,359,3.32,1.42,2203,20.4,6.93,0.27,0.39,0.46,0.43,12.64,189.61
