id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
275,267,1806,845304,52,13.0,6.38,33,8.25,5.56,136,34.0,42.68,0.84,0.97,0.48,0.28,7.32,120.63
276,100,3874,3393824,35,5.83,1.17,37,6.17,3.49,70,11.67,4.08,0.78,0.82,0.43,0.22,18.24,128.18
277,73,10703,3257176,34,8.5,2.08,21,5.25,0.96,56,14.0,4.76,0.71,0.7,0.52,0.31,14.79,134.73
438,14,1329,899151,4,2.0,1.41,4,2.0,1.41,7,3.5,3.54,0.99,1.0,0.7,0.53,31.38,62.88
1088,23,502,161612,16,5.33,2.08,15,5.0,2.65,22,7.33,4.04,0.96,0.88,0.67,0.58,9.08,180.15
1089,6,58,19043,5,2.5,0.71,4,2.0,0.0,6,3.0,0.0,0.8,0.82,0.36,0.15,0.46,132.83
1235,63,1379,535273,38,6.33,2.73,19,3.17,1.17,50,8.33,4.89,0.93,0.92,0.6,0.54,35.83,102.48
1522,67,390,22175,49,24.5,26.16,9,4.5,2.12,62,31.0,35.36,1.0,1.0,0.4,0.32,16.56,139.75
1523,41,11307,11298300,35,7.0,6.44,19,3.8,1.64,37,7.4,6.95,1.0,1.0,0.46,0.33,25.35,159.96
1524,60,3525,3150964,52,8.67,9.61,26,4.33,1.51,55,9.17,10.4,0.98,0.97,0.44,0.44,44.32,157.2
1597,25,259,95431,13,4.33,2.31,9,3.0,1.0,21,7.0,4.36,0.8,0.65,0.45,0.2,2.87,94.88
1598,77,1114,246655,30,7.5,2.65,20,5.0,0.82,62,15.5,7.72,0.8,0.69,0.61,0.6,25.46,102.1
2786,20,303,85711,13,4.33,1.53,4,1.33,0.58,15,5.0,2.65,1.0,1.0,0.42,0.3,18.03,75.4
3202,6,157,46242,4,2.0,1.41,3,1.5,0.71,5,2.5,2.12,1.0,1.0,0.74,0.61,43.15,58.2
3204,8,202,49177,3,1.0,0.0,6,2.0,1.0,6,2.0,1.0,0.67,0.46,0.6,0.67,5.58,89.67
3277,7,39,8105,7,3.5,0.71,6,3.0,0.0,7,3.5,0.71,0.56,0.52,0.88,0.96,10.2,145.88
3371,20,541,163896,14,7.0,4.24,8,4.0,1.41,18,9.0,7.07,0.98,1.0,0.58,0.42,10.32,126.84
4446,33,705,359279,16,8.0,4.24,5,2.5,0.71,26,13.0,11.31,0.57,0.47,0.38,0.2,7.74,157.72
4471,8,22,8307,6,3.0,0.0,7,3.5,0.71,7,3.5,0.71,1.0,1.0,0.72,0.95,0.63,149.56
4858,15,113,31676,12,4.0,2.0,12,4.0,1.0,13,4.33,1.53,0.92,0.85,0.42,0.3,3.5,119.08
4859,12,3804,3700486,9,3.0,1.0,8,2.67,0.58,11,3.67,1.53,0.95,0.99,0.43,0.34,23.91,140.87
4860,22,1893,1194817,17,3.4,1.14,12,2.4,1.34,19,3.8,1.48,0.49,0.44,0.5,0.58,28.01,99.88
4997,82,2978,1330855,16,8.0,2.83,12,6.0,1.41,46,23.0,9.9,0.88,0.82,0.46,0.18,40.74,126.78
4998,68,1395,439778,15,7.5,6.36,7,3.5,2.12,36,18.0,14.14,1.0,1.0,0.34,0.23,35.15,104.07
5002,20,804,502482,14,3.5,1.0,15,3.75,1.26,17,4.25,1.71,1.0,1.0,0.42,0.13,36.82,184.29
5185,6,31,3529,3,1.5,0.71,4,2.0,0.0,3,1.5,0.71,0.94,0.97,0.4,0.38,1.27,56.84
6336,10,12,548,7,3.5,0.71,8,4.0,0.0,8,4.0,0.0,1.0,1.0,0.34,0.36,0.08,209.54
